,Date,Title,Encabezado,SecLabel,Media
23,28/04/2017,"asi quedaron los grupos de la libertadores godoy cruz river y lanus son los argentinos lideres"">Así quedaron los grupos de la Libertadores: Godoy Cruz, River y Lanús son los argentinos líderes","asi quedaron los grupos de la libertadores godoy cruz river y lanus son los argentinos lideres"">Así quedaron los grupos de la Libertadores: Godoy Cruz, River y Lanús son los argentinos líderes",Deportes,Los Andes
24,28/04/2017,"basquet u 17 cayo mendoza y se complico el sueno de oro"">Básquet U 17: cayó Mendoza y se complicó el sueño de oro","basquet u 17 cayo mendoza y se complico el sueno de oro"">Básquet U 17: cayó Mendoza y se complicó el sueño de oro",Deportes,Los Andes
25,28/04/2017,"con el cuello erguido"">Lo llevan en la sangre: con el Cuello erguido","con el cuello erguido"">Lo llevan en la sangre: con el Cuello erguido",Deportes,Los Andes
26,28/04/2017,"doping positivo para el jugador de lanus fernando barrientos"">Doping positivo para el jugador de Lanús Fernando Barrientos","doping positivo para el jugador de lanus fernando barrientos"">Doping positivo para el jugador de Lanús Fernando Barrientos",Deportes,Los Andes
27,28/04/2017,"el marplatense zeballos busca instalarse en las semifinales en barcelona"">El marplatense Zeballos enfrentará a Nadal en semis del ATP de Barcelona","el marplatense zeballos busca instalarse en las semifinales en barcelona"">El marplatense Zeballos enfrentará a Nadal en semis del ATP de Barcelona",Deportes,Los Andes
28,28/04/2017,"el mendocino enzo perez esta lesionado y se perdera el choque ante el real madrid"">El mendocino Enzo Pérez se perderá el choque ante el Real Madrid","el mendocino enzo perez esta lesionado y se perdera el choque ante el real madrid"">El mendocino Enzo Pérez se perderá el choque ante el Real Madrid",Deportes,Los Andes
29,28/04/2017,"el relato del gol de mascherano al ritmo de despacito que se hizo viral"">El relato del gol de Mascherano al ritmo de ""Despacito"" que se hizo viral","el relato del gol de mascherano al ritmo de despacito que se hizo viral"">El relato del gol de Mascherano al ritmo de ""Despacito"" que se hizo viral",Deportes,Los Andes
30,28/04/2017,"el rojo de la sexta gano y recupero la punta 958285"">El Rojo de la Sexta  ganó y recuperó la punta","el rojo de la sexta gano y recupero la punta 958285"">El Rojo de la Sexta  ganó y recuperó la punta",Deportes,Los Andes
31,28/04/2017,"el sevilla gano por correa"">El Sevilla ganó por Correa","el sevilla gano por correa"">El Sevilla ganó por Correa",Deportes,Los Andes
32,28/04/2017,"el tomba gano lidera y asi lo festejaron los jugadores"">El Tomba ganó, lidera el grupo y así lo festejaron los jugadores","el tomba gano lidera y asi lo festejaron los jugadores"">El Tomba ganó, lidera el grupo y así lo festejaron los jugadores",Deportes,Los Andes
33,28/04/2017,"el tomba gano y marcha firme a los octavos"">El Tomba ganó y marcha firme a los octavos","el tomba gano y marcha firme a los octavos"">El Tomba ganó y marcha firme a los octavos",Deportes,Los Andes
34,28/04/2017,"enorme paula pareto se quedo con el panamericano de panama"">Enorme: Paula Pareto se quedó con el Panamericano de Panamá","enorme paula pareto se quedo con el panamericano de panama"">Enorme: Paula Pareto se quedó con el Panamericano de Panamá",Deportes,Los Andes
35,28/04/2017,"este no juega nunca mas un rugbier durmio a un arbitro de una trompada"">Este no juega nunca más: un rugbier durmió a un árbitro de una trompada","este no juega nunca mas un rugbier durmio a un arbitro de una trompada"">Este no juega nunca más: un rugbier durmió a un árbitro de una trompada",Deportes,Los Andes
36,28/04/2017,"exitoso regreso de sharapova quien ya esta en semis de stuttgart"">Exitoso regreso de Sharapova, quien ya está en semis de Stuttgart","exitoso regreso de sharapova quien ya esta en semis de stuttgart"">Exitoso regreso de Sharapova, quien ya está en semis de Stuttgart",Deportes,Los Andes
37,28/04/2017,"formula 1 las ferrari volaron en sochi"">Fórmula 1: las Ferrari volaron en los ensayos libres en Sochi","formula 1 las ferrari volaron en sochi"">Fórmula 1: las Ferrari volaron en los ensayos libres en Sochi",Deportes,Los Andes
38,28/04/2017,"gallardo asumimos que nuestro desafio y objetivo es pelear la copa"">Gallardo: ""“Asumimos que nuestro desafío y objetivo es pelear la Copa""","gallardo asumimos que nuestro desafio y objetivo es pelear la copa"">Gallardo: ""“Asumimos que nuestro desafío y objetivo es pelear la Copa""",Deportes,Los Andes
39,28/04/2017,"guardiola conte y simeone los mejores entrenadores del mundo segun l equipe"">Guardiola, Conte y Simeone, los mejores entrenadores del mundo según L'Équipe","guardiola conte y simeone los mejores entrenadores del mundo segun l equipe"">Guardiola, Conte y Simeone, los mejores entrenadores del mundo según L'Équipe",Deportes,Los Andes
40,28/04/2017,"guillermo barros schelotto boca sigue siendo un equipo que ataca siempre"">Guillermo Barros Schelotto: ""Boca sigue siendo un equipo que ataca siempre""","guillermo barros schelotto boca sigue siendo un equipo que ataca siempre"">Guillermo Barros Schelotto: ""Boca sigue siendo un equipo que ataca siempre""",Deportes,Los Andes
41,28/04/2017,"habra 20 mendocinos en el mundial de australia"">Mendoza es puntal nacional del hockey subacuático","habra 20 mendocinos en el mundial de australia"">Mendoza es puntal nacional del hockey subacuático",Deportes,Los Andes
42,28/04/2017,"hockey cesped un torneo cargado de equipos mendocinos"">Hockey Césped: un torneo cargado de equipos mendocinos","hockey cesped un torneo cargado de equipos mendocinos"">Hockey Césped: un torneo cargado de equipos mendocinos",Deportes,Los Andes
43,28/04/2017,"independiente buscara ante estudiantes su primer triunfo en el libertadores con holan como tecnico"">El Rojo y Estudiantes quedaron a mano en Avellaneda","independiente buscara ante estudiantes su primer triunfo en el libertadores con holan como tecnico"">El Rojo y Estudiantes quedaron a mano en Avellaneda",Deportes,Los Andes
44,28/04/2017,"insolito y lamentable un jugador de palmeiras le robo a un fotografo en pleno partido"">Insólito y lamentable: un jugador de Palmeiras le robó a un fotógrafo en pleno partido","insolito y lamentable un jugador de palmeiras le robo a un fotografo en pleno partido"">Insólito y lamentable: un jugador de Palmeiras le robó a un fotógrafo en pleno partido",Deportes,Los Andes
45,28/04/2017,"juventus con dybala e higuain visitara a atalanta en el inicio de la fecha en italia"">La Juventus de Dybala e Higuaín repartió puntos con Atalanta ","juventus con dybala e higuain visitara a atalanta en el inicio de la fecha en italia"">La Juventus de Dybala e Higuaín repartió puntos con Atalanta ",Deportes,Los Andes
46,28/04/2017,"la conmebol suspendio a cuatro jugadores tras el escandalo en la libertadores"">La Conmebol suspendió a cuatro jugadores tras el escándalo en la Libertadores","la conmebol suspendio a cuatro jugadores tras el escandalo en la libertadores"">La Conmebol suspendió a cuatro jugadores tras el escándalo en la Libertadores",Deportes,Los Andes
47,28/04/2017,"la cupula de la 12 no ingresara por 2 anos"">La cúpula de “La 12” no ingresará por 2 años","la cupula de la 12 no ingresara por 2 anos"">La cúpula de “La 12” no ingresará por 2 años",Deportes,Los Andes
48,28/04/2017,"la seleccion masculina de voley se prepara para jugar la liga mundial"">La Selección masculina de vóley se prepara para jugar la Liga Mundial ","la seleccion masculina de voley se prepara para jugar la liga mundial"">La Selección masculina de vóley se prepara para jugar la Liga Mundial ",Deportes,Los Andes
49,28/04/2017,"lanus obtuvo un punto que lo acerca al objetivo"">Lanús obtuvo un punto que lo acerca al objetivo","lanus obtuvo un punto que lo acerca al objetivo"">Lanús obtuvo un punto que lo acerca al objetivo",Deportes,Los Andes
50,28/04/2017,"leonardo murialdo es el semifinalista"">Leonardo Murialdo es el semifinalista","leonardo murialdo es el semifinalista"">Leonardo Murialdo es el semifinalista",Deportes,Los Andes
51,28/04/2017,"los dolores de cabeza de bermegui"">Los dolores de cabeza de Bermegui","los dolores de cabeza de bermegui"">Los dolores de cabeza de Bermegui",Deportes,Los Andes
52,28/04/2017,"los hinchas del tomba quieren seguir con los festejos"">Los hinchas del Tomba quieren seguir con los festejos","los hinchas del tomba quieren seguir con los festejos"">Los hinchas del Tomba quieren seguir con los festejos",Deportes,Los Andes
53,28/04/2017,"los spurs de manu ginobili vencieron a memphis y ya estan en las semifinales de la conferencia oeste"">Los Spurs de Manu Ginóbili vencieron a Memphis y ya están en las semifinales de la Conferencia Oeste","los spurs de manu ginobili vencieron a memphis y ya estan en las semifinales de la conferencia oeste"">Los Spurs de Manu Ginóbili vencieron a Memphis y ya están en las semifinales de la Conferencia Oeste",Deportes,Los Andes
54,28/04/2017,"murray avanzo a las semifinales en el abierto de barcelona"">Murray avanzó a las semifinales en el Abierto de Barcelona","murray avanzo a las semifinales en el abierto de barcelona"">Murray avanzó a las semifinales en el Abierto de Barcelona",Deportes,Los Andes
55,28/04/2017,"rally ogier gano la apertura en cordoba"">Rally: Ogier ganó la apertura en Córdoba","rally ogier gano la apertura en cordoba"">Rally: Ogier ganó la apertura en Córdoba",Deportes,Los Andes
56,28/04/2017,"river corto una racha muy negativa en ecuador y logro su tercer triunfo en 16 presentaciones"">River cortó una racha muy negativa en Ecuador y logró su tercer triunfo en 16 presentaciones","river corto una racha muy negativa en ecuador y logro su tercer triunfo en 16 presentaciones"">River cortó una racha muy negativa en Ecuador y logró su tercer triunfo en 16 presentaciones",Deportes,Los Andes
57,28/04/2017,"river gano en ecuador y esta casi en octavos"">River ganó en Ecuador y está casi en octavos","river gano en ecuador y esta casi en octavos"">River ganó en Ecuador y está casi en octavos",Deportes,Los Andes
58,28/04/2017,"river volvio al pais y prende velas por nacho fernandez"">River volvió al país y prende velas por Nacho Fernández ","river volvio al pais y prende velas por nacho fernandez"">River volvió al país y prende velas por Nacho Fernández ",Deportes,Los Andes
59,28/04/2017,"rojo y pincha buscan descontarle a boca"">Rojo y Pincha buscan descontarle a Boca","rojo y pincha buscan descontarle a boca"">Rojo y Pincha buscan descontarle a Boca",Deportes,Los Andes
60,28/04/2017,"siempre junto a godoy cruz"">Siempre junto a Godoy Cruz","siempre junto a godoy cruz"">Siempre junto a Godoy Cruz",Deportes,Los Andes
61,28/04/2017,"talleres en zona de sudamericana visita al preocupado quilmes"">Quilmes superó a Talleres y sumó puntos clave en la zona roja","talleres en zona de sudamericana visita al preocupado quilmes"">Quilmes superó a Talleres y sumó puntos clave en la zona roja",Deportes,Los Andes
62,28/04/2017,"victoria cruzada en boca"">Victoria Cruzada en Boca","victoria cruzada en boca"">Victoria Cruzada en Boca",Deportes,Los Andes
63,28/04/2017,"con un bono fiscal la provincia busca atraer inversiones"">Con un bono fiscal la Provincia busca atraer inversiones","con un bono fiscal la provincia busca atraer inversiones"">Con un bono fiscal la Provincia busca atraer inversiones",Economia,Los Andes
64,28/04/2017,"el bcra elimino el limite para transferencias bancarias"">El BCRA eliminó el límite para transferencias bancarias","el bcra elimino el limite para transferencias bancarias"">El BCRA eliminó el límite para transferencias bancarias",Economia,Los Andes
65,28/04/2017,"el nacion analiza la reestructuracion de la deuda de impsa"">El Nación analiza la reestructuración de la deuda de IMPSA","el nacion analiza la reestructuracion de la deuda de impsa"">El Nación analiza la reestructuración de la deuda de IMPSA",Economia,Los Andes
66,28/04/2017,"empresarios advirtieron sobre la baja productividad"">Empresarios advirtieron sobre la baja productividad","empresarios advirtieron sobre la baja productividad"">Empresarios advirtieron sobre la baja productividad",Economia,Los Andes
67,28/04/2017,"en marzo una familia tipo mendocina necesito 4 725 82 para alimentarse"">En marzo una familia tipo mendocina necesitó $ 4.725,82 para alimentarse","en marzo una familia tipo mendocina necesito 4 725 82 para alimentarse"">En marzo una familia tipo mendocina necesitó $ 4.725,82 para alimentarse",Economia,Los Andes
68,28/04/2017,"protesta ex trabajadores petroleros frena la produccion en la refineria de lujan"">Protesta ex trabajadores petroleros frena la producción en la refinería de Luján","protesta ex trabajadores petroleros frena la produccion en la refineria de lujan"">Protesta ex trabajadores petroleros frena la producción en la refinería de Luján",Economia,Los Andes
69,28/04/2017,"reclaman emergencia economica para productores"">Reclaman emergencia económica para productores","reclaman emergencia economica para productores"">Reclaman emergencia económica para productores",Economia,Los Andes
70,28/04/2017,"argentina paso 3 dias presa en turquia estoy viva"">Argentina pasó 3 días presa en Turquía: “Estoy viva”","argentina paso 3 dias presa en turquia estoy viva"">Argentina pasó 3 días presa en Turquía: “Estoy viva”",Mundo,Los Andes
71,28/04/2017,"brasil huelga general contra medidas de ajuste de temer"">Brasil: huelga general contra medidas de ajuste de Temer","brasil huelga general contra medidas de ajuste de temer"">Brasil: huelga general contra medidas de ajuste de Temer",Mundo,Los Andes
