id,Username,created_at,text,favorite_count,retweet_count,user's followers count
859025900905660418,Unión Cívica Radical,2017-05-01 12:45:09,"#FelizDiaDelTrabajador.
El trabajo es la primera herramienta que garantiza la dignidad humana.… https://t.co/rnaPR4xGuT",249,155,46084
858897546789388288,Nik,2017-05-01 04:15:07,Hola MAYO!! Muy Feliz Día!! #FelizDiaDelTrabajador https://t.co/UVbYMykAYb,317,161,423046
858946669794164736,Mujerhoy,2017-05-01 07:30:19,"""Si tú no trabajas por tus sueños, alguien te contratará para que trabajes por los suyos"" Steve Jobs ¡Buenos días!… https://t.co/AeZPmBkG3C",67,47,135717
858892314567213056,Nik,2017-05-01 03:54:19,Muy Feliz Día del Trabajador PARA TODOS!!! #FelizDiaDelTrabajador https://t.co/s1bI80o5Wq,758,520,423046
858890741258571776,Caro Gaillard,2017-05-01 03:48:04,#FelizDiaDelTrabajador y nuestra solidaridad con tod@s los trabajadores que hoy atraviesan horas difíciles y triste… https://t.co/oXIbZynxMg,173,110,10252
858886219408736260,Facundo Moyano,2017-05-01 03:30:06,"A los que tienen trabajo, a los que circunstancialmente no, a los que están en la economía informal, a todos #FelizDiaDelTrabajador",345,111,98979
858909711911051264,Nik,2017-05-01 05:03:27,Destino. #FelizDiaDelTrabajador https://t.co/qYyIXp86dW,276,103,423046
858911047645900804,Nik,2017-05-01 05:08:46,#FelizDiaDelTrabajador https://t.co/9pBaeUbrVu,307,143,423046
858888868602445830,Fernando Carnota,2017-05-01 03:40:38,#FelizDiaDelTrabajador para todos!!!!,547,94,59533
858899373119471620,Nik,2017-05-01 04:22:22,Qué malos!!! Estas turradas que me mandan por WhatsApp!!! #FelizDiaDelTrabajador https://t.co/0sPMYlP8wQ,344,151,423046
858897546789388288,Nik,2017-05-01 04:15:07,Hola MAYO!! Muy Feliz Día!! #FelizDiaDelTrabajador https://t.co/UVbYMykAYb,317,161,423046
858937410159333377,Lorenzo Amor,2017-05-01 06:53:31,Feliz día 1 mayo a todos y en especial a los autónomos y autonomas que hoy trabajan como un día cualquiera más #FelizDiaDelTrabajador,45,46,13212
858889328914825216,Gerardo López,2017-05-01 03:42:28,"#FelizDiaDelTrabajador, sobre todo si querés serlo y el desempleo no te deja. Fuerza que todo llega",109,30,89004
858878895923253248,Jorge M. Capitanich,2017-05-01 03:01:00,"#FelizDíaDelTrabajador 
Hoy es preciso recordar a la verdadera revolución en paz iniciada por Juan Domingo Perón… https://t.co/UoyqHDG6WE",67,34,234940
