Date|Sección|Title|Encabezado
30/04/2017|c30|http://www.lanacion.com.ar/2019169-odebrecht-aporto-fondos-para-la-campana-de-pro-y-otros-partidos-estan-bajo-la-lupa|Donó $500.000 con Braskem; otro dirigentes niegan haber recibido aportes
30/04/2017|c30|http://www.lanacion.com.ar/2019170-la-caja-dos-que-financio-la-politica-de-la-region|Odebrecht admitió pagos ilegales para campañas en  Brasil y en otros países
30/04/2017|c30|http://www.lanacion.com.ar/2019186-macri-interviene-en-la-interna-gremial-y-pule-anuncios-laborales|Mañana se mostrará con los sindicatos aliados y anunciaría un proyecto de reconversión de planes sociales y otro de beneficios impositivos a transportistas; la CGT se reúne por separado, igual que la CTA
30/04/2017|c30|http://www.lanacion.com.ar/2019187-la-crisis-de-la-salud-el-otro-conflicto-que-complica-a-vidal|Este año ya hubo 20 días de paro, y muchos hospitales funcionan con varias deficiencias
30/04/2017|c30|http://www.lanacion.com.ar/2019188-la-izquierda-se-une-para-liderar-un-gremio|Quiere destronar al kirchnerista Iadarola al frente de los telefónicos
30/04/2017|c30|http://www.lanacion.com.ar/2019189-los-adultos-conservan-un-mayor-apoyo-a-macri-que-los-jovenes|Diferentes encuestadoras registran una diferencia etaria importante en la imagen del Gobierno; lo atribuyen a su estilo de comunicación y a su perfil político
30/04/2017|c30|http://www.lanacion.com.ar/2019190-cambiemos-tensiones-en-el-armado-nacional|Chaco, Santa Fe, Capital, Córdoba, Formosa y Tucumán, con problemas entre Pro, la UCR y la CC
30/04/2017|c30|http://www.lanacion.com.ar/2019191-los-ministros-caminan-los-municipios-del-fpv|El oficialismo despliega a sus funcionarios en el conurbano, para ayudar a los candidatos locales
30/04/2017|c30|http://www.lanacion.com.ar/2019192-el-gobierno-admite-que-el-reclamo-por-malvinas-esta-en-punto-muerto|Si bien la relación con Londres es "muy buena" no hay progresos en relación a las islas, más allá de la identificación de los NN
30/04/2017|c30|http://www.lanacion.com.ar/2019193-la-amia-renueva-sus-autoridades-con-el-oficialismo-como-favorito|La  actual conducción impulsa al ex diputado radical   Zbar; la lista de Bergman denunció irregularidades y no participará
30/04/2017|c30|http://www.lanacion.com.ar/2019194-murio-martinez-raymonda-figura-clave-de-la-democracia-progresista|Fue diputado nacional, con larga actuación en Santa Fe y en la Capital Federal; fue también embajador en Italia y director de Yacyretá
30/04/2017|c30|http://www.lanacion.com.ar/2019222-santa-cruz-como-es-estar-mas-de-un-mes-sin-clase|Los docentes de la provincia son uno de los bastiones de las protestas contra el gobierno de Alicia Kirchner; se sienten maltratados por no poder cobrar normalmente sus sueldos y lamentan los efectos sobre la educación; pero también se mantienen en su postura con convicción
